Company,Website,Category,Headquarters,Company Description,Persona Name,Persona Title,Buying Role for Brand Strategy/Design
Ghia,https://drinkghia.com,Non-Alcoholic Aperitif,"Los Angeles, CA","Design-forward non-alcoholic aperitif founded by Glossier alum Melanie Masarin. Chic Mediterranean-inspired branding with flavors like Sumac & Chili and Le Spritz. Raised funding from Blanck Capital. Sold DTC and in retail including Target.",Melanie Masarin,Founder & CEO,"Final decision-maker; has deep marketing/creative background (former Head of Retail at Glossier, Creative Director at Dig Inn)"
Ghia,https://drinkghia.com,Non-Alcoholic Aperitif,"Los Angeles, CA","Design-forward non-alcoholic aperitif founded by Glossier alum Melanie Masarin. Chic Mediterranean-inspired branding with flavors like Sumac & Chili and Le Spritz. Raised funding from Blanck Capital. Sold DTC and in retail including Target.",Director of Marketing (name not public),Director of Marketing,Leads multi-channel marketing strategy and brand campaigns; reports directly to CEO
Ghia,https://drinkghia.com,Non-Alcoholic Aperitif,"Los Angeles, CA","Design-forward non-alcoholic aperitif founded by Glossier alum Melanie Masarin. Chic Mediterranean-inspired branding with flavors like Sumac & Chili and Le Spritz. Raised funding from Blanck Capital. Sold DTC and in retail including Target.",Director of Growth Marketing (name not public),Director of Growth Marketing,Oversees digital brand presence and growth initiatives; key influencer on creative/design spend
Kin Euphorics,https://kineuphorics.com,Functional Non-Alcoholic Social Tonics,"New York, NY","Adaptogenic and nootropic social tonics co-founded by Bella Hadid and Jen Batchelor. Products include High Rhode (mood boost) and Dream Light (sleep). ~23 employees. Raised $13.8M with $46.5M post-money valuation. Sold at Target, Whole Foods, and DTC.",Jen Batchelor,Founder & CEO,Final decision-maker on brand direction and agency partnerships
Kin Euphorics,https://kineuphorics.com,Functional Non-Alcoholic Social Tonics,"New York, NY","Adaptogenic and nootropic social tonics co-founded by Bella Hadid and Jen Batchelor. Products include High Rhode (mood boost) and Dream Light (sleep). ~23 employees. Raised $13.8M with $46.5M post-money valuation. Sold at Target, Whole Foods, and DTC.",Debbie Kyung,Chief Marketing Officer (CMO),Primary owner of brand strategy; leads all marketing initiatives; previously VP Marketing at Madison Reed
Kin Euphorics,https://kineuphorics.com,Functional Non-Alcoholic Social Tonics,"New York, NY","Adaptogenic and nootropic social tonics co-founded by Bella Hadid and Jen Batchelor. Products include High Rhode (mood boost) and Dream Light (sleep). ~23 employees. Raised $13.8M with $46.5M post-money valuation. Sold at Target, Whole Foods, and DTC.",Amalie Moreno,Marketing Manager,Executes on brand and design initiatives; day-to-day contact for agency relationships
Olipop,https://drinkolipop.com,Prebiotic Functional Soda,"Oakland, CA","Prebiotic soda brand combining gut health benefits with nostalgic soda flavors (Vintage Cola, Cherry Vanilla). Co-founded by Ben Goodwin and David Lester. Now a major player with nationwide retail (Target, Whole Foods, Kroger). Acquired by PepsiCo ecosystem proximity (Poppi acquired; Olipop remains independent).",Ben Goodwin,Co-Founder & CEO,Final decision-maker on brand identity and strategic design direction
Olipop,https://drinkolipop.com,Prebiotic Functional Soda,"Oakland, CA","Prebiotic soda brand combining gut health benefits with nostalgic soda flavors (Vintage Cola, Cherry Vanilla). Co-founded by Ben Goodwin and David Lester. Now a major player with nationwide retail (Target, Whole Foods, Kroger). Acquired by PepsiCo ecosystem proximity (Poppi acquired; Olipop remains independent).",VP of Brand (name not public),VP of Brand,Directly owns brand strategy and creative execution; oversees brand marketing team
Olipop,https://drinkolipop.com,Prebiotic Functional Soda,"Oakland, CA","Prebiotic soda brand combining gut health benefits with nostalgic soda flavors (Vintage Cola, Cherry Vanilla). Co-founded by Ben Goodwin and David Lester. Now a major player with nationwide retail (Target, Whole Foods, Kroger). Acquired by PepsiCo ecosystem proximity (Poppi acquired; Olipop remains independent).",Sara Gragnolati,VP of Innovation,"Leads product innovation and brand strategy alignment; 20 years experience in innovation and marketing (MegaFood, Welch's, Archer Roose)"
De Soi,https://drinkdesoi.com,Non-Alcoholic Adaptogenic Aperitif,"Los Angeles, CA","Non-alcoholic sparkling aperitif co-founded by Katy Perry and Master Distiller Morgan McLachlan. Features adaptogens like ashwagandha and L-theanine. Raised $13M. Sold at Target, Total Wine, and DTC. Named to Forbes 30 Under 30 (CEO Scout Brisson).",Scout Brisson,CEO,Primary decision-maker on brand investments; MIT-educated with CPG and consulting (McKinsey) background
De Soi,https://drinkdesoi.com,Non-Alcoholic Adaptogenic Aperitif,"Los Angeles, CA","Non-alcoholic sparkling aperitif co-founded by Katy Perry and Master Distiller Morgan McLachlan. Features adaptogens like ashwagandha and L-theanine. Raised $13M. Sold at Target, Total Wine, and DTC. Named to Forbes 30 Under 30 (CEO Scout Brisson).",Katy Perry,Co-Founder & Chief Creative Visionary,Drives creative direction and brand identity; final voice on brand aesthetics and positioning
De Soi,https://drinkdesoi.com,Non-Alcoholic Adaptogenic Aperitif,"Los Angeles, CA","Non-alcoholic sparkling aperitif co-founded by Katy Perry and Master Distiller Morgan McLachlan. Features adaptogens like ashwagandha and L-theanine. Raised $13M. Sold at Target, Total Wine, and DTC. Named to Forbes 30 Under 30 (CEO Scout Brisson).",Morgan McLachlan,Co-Founder & Chief Product Officer,Owns product-brand alignment; ensures design and strategy match product positioning
Sunwink,https://sunwink.com,Sparkling Wellness Tonics & Superfood Powders,"San Francisco, CA","Female-founded plant-powered wellness brand offering sparkling tonics and superfood powders with adaptogens and herbs. Co-founded by Eliza Ganesh and Jordan Schenck. Raised $14.13M. Sold at Whole Foods, Target, Sprouts, and DTC.",Eliza Ganesh,CEO & Co-Founder,Final decision-maker on brand investments and strategic partnerships
Sunwink,https://sunwink.com,Sparkling Wellness Tonics & Superfood Powders,"San Francisco, CA","Female-founded plant-powered wellness brand offering sparkling tonics and superfood powders with adaptogens and herbs. Co-founded by Eliza Ganesh and Jordan Schenck. Raised $14.13M. Sold at Whole Foods, Target, Sprouts, and DTC.",Jordan Schenck,Co-Founder & CMO,"Primary owner of brand strategy and marketing; formerly Head of Consumer Marketing at Impossible Foods"
Sunwink,https://sunwink.com,Sparkling Wellness Tonics & Superfood Powders,"San Francisco, CA","Female-founded plant-powered wellness brand offering sparkling tonics and superfood powders with adaptogens and herbs. Co-founded by Eliza Ganesh and Jordan Schenck. Raised $14.13M. Sold at Whole Foods, Target, Sprouts, and DTC.",Sarena Hines,VP of Sales,Influences brand and design decisions at retail/trade level; ensures brand presentation across channels
Hiyo,https://drinkhiyo.com,Non-Alcoholic Social Tonic,"Los Angeles, CA","USDA-organic social tonic with adaptogens, nootropics, and botanicals. Co-founded by Evan Quinn, George Youmans, and Cygne Cooper. Backed by Constellation Brands and Live Nation. Expanding to 10,000+ retail doors including Costco, Target, Kroger.",Evan Quinn,Co-Founder & CEO,Final decision-maker on brand strategy and design agency engagements
Hiyo,https://drinkhiyo.com,Non-Alcoholic Social Tonic,"Los Angeles, CA","USDA-organic social tonic with adaptogens, nootropics, and botanicals. Co-founded by Evan Quinn, George Youmans, and Cygne Cooper. Backed by Constellation Brands and Live Nation. Expanding to 10,000+ retail doors including Costco, Target, Kroger.",Cygne Cooper,Co-Founder & Chief Brand Officer,Primary owner of brand identity and creative direction; directly manages brand strategy and design
Hiyo,https://drinkhiyo.com,Non-Alcoholic Social Tonic,"Los Angeles, CA","USDA-organic social tonic with adaptogens, nootropics, and botanicals. Co-founded by Evan Quinn, George Youmans, and Cygne Cooper. Backed by Constellation Brands and Live Nation. Expanding to 10,000+ retail doors including Costco, Target, Kroger.",George Youmans,Co-Founder & Chief Revenue Officer,Influences brand/design spend through commercial lens; ensures brand strategy aligns with revenue goals
Poppi,https://drinkpoppi.com,Prebiotic Soda,"Austin, TX","Prebiotic soda brand co-founded by Allison and Stephen Ellsworth. Acquired by PepsiCo for $1.95B in 2025. Known for bold, colorful branding and strong social media presence. Sold nationwide at major retailers.",Allison Ellsworth,Co-Founder & Chief Brand Officer,Primary brand steward; oversees all brand identity and creative decisions post-acquisition
Poppi,https://drinkpoppi.com,Prebiotic Soda,"Austin, TX","Prebiotic soda brand co-founded by Allison and Stephen Ellsworth. Acquired by PepsiCo for $1.95B in 2025. Known for bold, colorful branding and strong social media presence. Sold nationwide at major retailers.",Chris Hall,CEO,Executive decision-maker on brand strategy and major design investments; former CEO of Sparkling Ice
Poppi,https://drinkpoppi.com,Prebiotic Soda,"Austin, TX","Prebiotic soda brand co-founded by Allison and Stephen Ellsworth. Acquired by PepsiCo for $1.95B in 2025. Known for bold, colorful branding and strong social media presence. Sold nationwide at major retailers.",CMO (currently open/transitioning),Chief Marketing Officer,Key buyer for brand strategy/design services; role in transition after Andy Judd's departure following PepsiCo acquisition
Aplos,https://www.aplos.world,Non-Alcoholic Functional Spirits & Cocktails,"Coral Gables, FL","Non-alcoholic spirits and canned cocktails infused with hemp and adaptogens (lion's mane). Co-founded by David Fudge, Emily Onkey, and Jessica Manley. Raised $5M+. In 2,000+ retail doors and 1,000+ restaurant menus nationwide.",David Fudge,Co-Founder & CEO,Final decision-maker; leads long-term brand vision and investor-facing brand narrative
Aplos,https://www.aplos.world,Non-Alcoholic Functional Spirits & Cocktails,"Coral Gables, FL","Non-alcoholic spirits and canned cocktails infused with hemp and adaptogens (lion's mane). Co-founded by David Fudge, Emily Onkey, and Jessica Manley. Raised $5M+. In 2,000+ retail doors and 1,000+ restaurant menus nationwide.",Emily Onkey,Co-Founder & CMO,"Primary owner of brand strategy and design; extensive marketing background (Bonobos, Soludos)"
Aplos,https://www.aplos.world,Non-Alcoholic Functional Spirits & Cocktails,"Coral Gables, FL","Non-alcoholic spirits and canned cocktails infused with hemp and adaptogens (lion's mane). Co-founded by David Fudge, Emily Onkey, and Jessica Manley. Raised $5M+. In 2,000+ retail doors and 1,000+ restaurant menus nationwide.",Jessica Manley,Co-Founder,Influences brand direction and creative partnerships as co-founder
Moment,https://drinkmoment.com,Adaptogen Botanical Beverages,"New York, NY","Botanical adaptogen beverages (""Drink Your Meditation"") with ashwagandha and L-theanine. Founded by Aisha Chottani and Faheem Kajee. Winner of BevNET New Beverage Showdown. Partnered with Lululemon. Woman and minority founded.",Aisha Chottani,Founder & CEO,"Final decision-maker on brand and design investments; Harvard MBA with marketing/strategy background (McKinsey)"
Moment,https://drinkmoment.com,Adaptogen Botanical Beverages,"New York, NY","Botanical adaptogen beverages (""Drink Your Meditation"") with ashwagandha and L-theanine. Founded by Aisha Chottani and Faheem Kajee. Winner of BevNET New Beverage Showdown. Partnered with Lululemon. Woman and minority founded.",Faheem Kajee,Co-Founder,Co-leads brand strategy and creative direction alongside CEO
Moment,https://drinkmoment.com,Adaptogen Botanical Beverages,"New York, NY","Botanical adaptogen beverages (""Drink Your Meditation"") with ashwagandha and L-theanine. Founded by Aisha Chottani and Faheem Kajee. Winner of BevNET New Beverage Showdown. Partnered with Lululemon. Woman and minority founded.",Head of Marketing (name not public),Head of Marketing,Day-to-day brand marketing lead; manages agency relationships and creative execution
HOP WTR,https://hopwtr.com,Non-Alcoholic Sparkling Hop Water,"Los Angeles, CA","Sparkling water brewed with hops and infused with adaptogens and nootropics (ashwagandha, L-theanine). Co-founded by Jordan Bass and Nick Taranto (Plated founder). Ranked #598 on Inc. 5000. Backed by Btomorrow Ventures. Leading hoppy water brand in the US.",Jordan Bass,Co-Founder & CEO,"Final decision-maker on brand direction and agency spend; former Head of eCommerce at The Wonderful Company (FIJI Water, POM)"
HOP WTR,https://hopwtr.com,Non-Alcoholic Sparkling Hop Water,"Los Angeles, CA","Sparkling water brewed with hops and infused with adaptogens and nootropics (ashwagandha, L-theanine). Co-founded by Jordan Bass and Nick Taranto (Plated founder). Ranked #598 on Inc. 5000. Backed by Btomorrow Ventures. Leading hoppy water brand in the US.",Nick Taranto,Co-Founder & Chairman,"Strategic brand oversight; serial entrepreneur (sold Plated for $200M+); Dartmouth/Harvard MBA"
HOP WTR,https://hopwtr.com,Non-Alcoholic Sparkling Hop Water,"Los Angeles, CA","Sparkling water brewed with hops and infused with adaptogens and nootropics (ashwagandha, L-theanine). Co-founded by Jordan Bass and Nick Taranto (Plated founder). Ranked #598 on Inc. 5000. Backed by Btomorrow Ventures. Leading hoppy water brand in the US.",Head of Marketing (name not public),Head of Marketing,Leads brand marketing and creative execution; primary day-to-day contact for design/strategy agencies
